[rosmaster.main][INFO] 2020-11-03 18:28:30,150: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-03 18:28:30,150: Starting ROS Master Node
[xmlrpc][INFO] 2020-11-03 18:28:30,151: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-11-03 18:28:30,151: Started XML-RPC server [http://freight1207:11311/]
[xmlrpc][INFO] 2020-11-03 18:28:30,151: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-11-03 18:28:30,151: Master initialized: port[11311], uri[http://freight1207:11311/]
[rosmaster.master][INFO] 2020-11-03 18:28:30,170: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,171: +PARAM [/roslaunch/uris/host_freight1207__42021] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,214: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,214: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,215: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:39805/
[rosmaster.master][INFO] 2020-11-03 18:28:30,215: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,215: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,215: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,215: +SERVICE [/rosout/set_logger_level] /rosout http://freight1207:39805/
[rosmaster.master][INFO] 2020-11-03 18:28:30,216: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,216: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,216: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,216: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,216: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,217: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,217: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,217: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,217: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,217: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,217: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:28:30,217: +PUB [/rosout_agg] /rosout http://freight1207:39805/
[rosmaster.master][INFO] 2020-11-03 18:28:30,220: +SUB [/rosout] /rosout http://freight1207:39805/
[rosmaster.master][INFO] 2020-11-03 18:28:30,542: +PUB [/rosout] /rosbridge_websocket http://freight1207:33679/
[rosmaster.master][INFO] 2020-11-03 18:28:30,544: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://freight1207:33679/
[rosmaster.master][INFO] 2020-11-03 18:28:30,545: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://freight1207:33679/
[rosmaster.master][INFO] 2020-11-03 18:28:30,551: publisherUpdate[/rosout] -> http://freight1207:39805/
[rosmaster.master][INFO] 2020-11-03 18:28:30,921: +PUB [/rosout] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,923: +SERVICE [/rosapi/get_loggers] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,923: +SERVICE [/rosapi/set_logger_level] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,926: +SERVICE [/rosapi/topics] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,927: +SERVICE [/rosapi/topics_for_type] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,927: +SERVICE [/rosapi/services] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,928: +SERVICE [/rosapi/services_for_type] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,929: +SERVICE [/rosapi/nodes] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,930: +SERVICE [/rosapi/node_details] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,930: +SERVICE [/rosapi/action_servers] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,931: +SERVICE [/rosapi/topic_type] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,932: +SERVICE [/rosapi/service_type] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,933: +SERVICE [/rosapi/publishers] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,933: +SERVICE [/rosapi/subscribers] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,934: +SERVICE [/rosapi/service_providers] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,935: +SERVICE [/rosapi/service_node] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,935: +SERVICE [/rosapi/service_host] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,936: +SERVICE [/rosapi/message_details] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,937: +SERVICE [/rosapi/service_request_details] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,938: +SERVICE [/rosapi/service_response_details] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,938: +SERVICE [/rosapi/set_param] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,939: +SERVICE [/rosapi/get_param] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,940: +SERVICE [/rosapi/has_param] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,941: +SERVICE [/rosapi/search_param] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,941: +SERVICE [/rosapi/delete_param] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,942: +SERVICE [/rosapi/get_param_names] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,943: +SERVICE [/rosapi/get_time] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:28:30,952: publisherUpdate[/rosout] -> http://freight1207:39805/
[rosmaster.master][INFO] 2020-11-03 18:41:54,844: -PUB [/rosout] /rosapi http://freight1207:49508/
[rosmaster.master][INFO] 2020-11-03 18:41:54,845: -PUB [/rosout] /rosbridge_websocket http://freight1207:33679/
[rosmaster.master][INFO] 2020-11-03 18:41:54,845: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://freight1207:35703
