[rosmaster.main][INFO] 2020-10-19 21:55:22,209: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-10-19 21:55:22,209: Starting ROS Master Node
[xmlrpc][INFO] 2020-10-19 21:55:22,209: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-10-19 21:55:22,209: Started XML-RPC server [http://freight1207:11311/]
[xmlrpc][INFO] 2020-10-19 21:55:22,209: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-10-19 21:55:22,209: Master initialized: port[11311], uri[http://freight1207:11311/]
[rosmaster.master][INFO] 2020-10-19 21:55:22,233: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:22,233: +PARAM [/roslaunch/uris/host_freight1207__48961] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:22,262: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:22,262: +PARAM [/remote_control/move_meter] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:22,263: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:22,263: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:22,263: +PARAM [/remote_control/move_rad] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:22,264: +SERVICE [/rosout/set_logger_level] /rosout http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:22,265: +PUB [/rosout_agg] /rosout http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:22,271: +SUB [/rosout] /rosout http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:22,273: +PUB [/rosout] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:22,274: +SERVICE [/remote_control/get_loggers] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:22,274: +SERVICE [/remote_control/set_logger_level] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:22,277: +SUB [/remote_control] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:22,279: +SUB [/odom] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:22,279: +PUB [/cmd_vel] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:22,309: publisherUpdate[/rosout] -> http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:26,817: -PUB [/rosout] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:26,817: -PUB [/cmd_vel] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:26,818: -SUB [/remote_control] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:26,818: -SUB [/odom] /remote_control http://freight1207:51162/
[rosmaster.master][INFO] 2020-10-19 21:55:26,819: -SERVICE [/remote_control/get_loggers] /remote_control rosrpc://freight1207:47681
[rosmaster.master][INFO] 2020-10-19 21:55:26,819: -SERVICE [/remote_control/set_logger_level] /remote_control rosrpc://freight1207:47681
[rosmaster.master][INFO] 2020-10-19 21:55:26,915: publisherUpdate[/rosout] -> http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:27,117: -PUB [/rosout_agg] /rosout http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:27,118: -SUB [/rosout] /rosout http://freight1207:47737/
[rosmaster.master][INFO] 2020-10-19 21:55:27,118: -SERVICE [/rosout/get_loggers] /rosout rosrpc://freight1207:38204
[rosmaster.master][INFO] 2020-10-19 21:55:27,119: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://freight1207:38204
[rosmaster.main][INFO] 2020-10-19 21:55:27,226: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-10-19 21:55:27,226: stopping master...
[rospy.core][INFO] 2020-10-19 21:55:27,226: signal_shutdown [atexit]
