[rosmaster.main][INFO] 2020-10-19 21:55:31,538: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-10-19 21:55:31,538: Starting ROS Master Node
[xmlrpc][INFO] 2020-10-19 21:55:31,539: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-10-19 21:55:31,539: Started XML-RPC server [http://freight1207:11311/]
[xmlrpc][INFO] 2020-10-19 21:55:31,539: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-10-19 21:55:31,539: Master initialized: port[11311], uri[http://freight1207:11311/]
[rosmaster.master][INFO] 2020-10-19 21:55:31,563: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,564: +PARAM [/roslaunch/uris/host_freight1207__34237] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,595: +PARAM [/move_base/global_costmap/obstacles/base_scan/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,595: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,595: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,595: +PARAM [/amcl/save_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,595: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/move_base/TrajectoryPlannerROS/heading_scoring_timestep] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/move_base/global_costmap/obstacles/base_scan/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:43130/
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,596: +PARAM [/amcl/laser_z_rand] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,597: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,597: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:55:31,597: +SERVICE [/rosout/set_logger_level] /rosout http://freight1207:43130/
