[rosmaster.main][INFO] 2020-11-03 18:52:30,260: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-03 18:52:30,260: Starting ROS Master Node
[xmlrpc][INFO] 2020-11-03 18:52:30,260: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-11-03 18:52:30,261: Started XML-RPC server [http://freight1207:11311/]
[xmlrpc][INFO] 2020-11-03 18:52:30,261: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-11-03 18:52:30,261: Master initialized: port[11311], uri[http://freight1207:11311/]
[rosmaster.master][INFO] 2020-11-03 18:52:30,278: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,279: +PARAM [/roslaunch/uris/host_freight1207__53520] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,322: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,322: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,323: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,324: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:37543/
[rosmaster.master][INFO] 2020-11-03 18:52:30,324: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,324: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,324: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,324: +SERVICE [/rosout/set_logger_level] /rosout http://freight1207:37543/
[rosmaster.master][INFO] 2020-11-03 18:52:30,324: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,325: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:52:30,326: +PUB [/rosout_agg] /rosout http://freight1207:37543/
[rosmaster.master][INFO] 2020-11-03 18:52:30,328: +SUB [/rosout] /rosout http://freight1207:37543/
[rosmaster.master][INFO] 2020-11-03 18:52:30,585: +PUB [/rosout] /rosbridge_websocket http://freight1207:56343/
[rosmaster.master][INFO] 2020-11-03 18:52:30,587: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://freight1207:56343/
[rosmaster.master][INFO] 2020-11-03 18:52:30,588: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://freight1207:56343/
[rosmaster.master][INFO] 2020-11-03 18:52:30,661: publisherUpdate[/rosout] -> http://freight1207:37543/
[rosmaster.master][INFO] 2020-11-03 18:52:30,911: +PUB [/rosout] /rosapi http://freight1207:44380/
[rosmaster.master][INFO] 2020-11-03 18:52:30,913: +SERVICE [/rosapi/get_loggers] /rosapi http://freight1207:44380/
