[rosmaster.main][INFO] 2020-10-19 21:58:19,070: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-10-19 21:58:19,070: Starting ROS Master Node
[xmlrpc][INFO] 2020-10-19 21:58:19,070: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-10-19 21:58:19,071: Started XML-RPC server [http://freight1207:11311/]
[xmlrpc][INFO] 2020-10-19 21:58:19,071: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-10-19 21:58:19,071: Master initialized: port[11311], uri[http://freight1207:11311/]
[rosmaster.master][INFO] 2020-10-19 21:58:19,095: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,095: +PARAM [/roslaunch/uris/host_freight1207__46233] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,124: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:35424/
[rosmaster.master][INFO] 2020-10-19 21:58:19,125: +SERVICE [/rosout/set_logger_level] /rosout http://freight1207:35424/
[rosmaster.master][INFO] 2020-10-19 21:58:19,131: +PARAM [/move_base/global_costmap/obstacles/base_scan/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,131: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,131: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,131: +PARAM [/amcl/save_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,131: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,131: +PARAM [/move_base/TrajectoryPlannerROS/heading_scoring_timestep] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,131: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,132: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,132: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,132: +PUB [/rosout_agg] /rosout http://freight1207:35424/
[rosmaster.master][INFO] 2020-10-19 21:58:19,132: +PARAM [/move_base/global_costmap/obstacles/base_scan/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,132: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,133: +PARAM [/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,133: +PARAM [/amcl/laser_z_rand] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,133: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,133: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,133: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,134: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,134: +PARAM [/move_base/local_costmap/inflater/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,134: +PARAM [/move_base/local_costmap/obstacles/base_scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,134: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 21:58:19,135: +PARAM [/move_base/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
