[rosmaster.main][INFO] 2020-11-03 18:53:11,176: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-03 18:53:11,176: Starting ROS Master Node
[xmlrpc][INFO] 2020-11-03 18:53:11,176: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-11-03 18:53:11,177: Started XML-RPC server [http://freight1207:11311/]
[xmlrpc][INFO] 2020-11-03 18:53:11,177: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-11-03 18:53:11,177: Master initialized: port[11311], uri[http://freight1207:11311/]
[rosmaster.master][INFO] 2020-11-03 18:53:11,194: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:53:11,195: +PARAM [/roslaunch/uris/host_freight1207__53252] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:53:11,234: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:53:11,235: +PARAM [/rostful_server/init_delay] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:53:11,235: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:53:11,239: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:53:11,239: +SERVICE [/rosout/set_logger_level] /rosout http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:53:11,240: +PUB [/rosout_agg] /rosout http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:53:11,243: +SUB [/rosout] /rosout http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:53:11,814: +PUB [/rosout] /rostful_server http://freight1207:57706/
[rosmaster.master][INFO] 2020-11-03 18:53:11,817: +SERVICE [/rostful_server/get_loggers] /rostful_server http://freight1207:57706/
[rosmaster.master][INFO] 2020-11-03 18:53:11,818: +SERVICE [/rostful_server/set_logger_level] /rostful_server http://freight1207:57706/
[rosmaster.master][INFO] 2020-11-03 18:53:11,877: publisherUpdate[/rosout] -> http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:56:05,601: -PUB [/rosout] /rostful_server http://freight1207:57706/
[rosmaster.master][INFO] 2020-11-03 18:56:05,601: -SERVICE [/rostful_server/set_logger_level] /rostful_server rosrpc://freight1207:50599
[rosmaster.master][INFO] 2020-11-03 18:56:05,601: -SERVICE [/rostful_server/get_loggers] /rostful_server rosrpc://freight1207:50599
[rosmaster.master][INFO] 2020-11-03 18:56:05,624: publisherUpdate[/rosout] -> http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:56:05,925: -PUB [/rosout_agg] /rosout http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:56:05,926: -SUB [/rosout] /rosout http://freight1207:35215/
[rosmaster.master][INFO] 2020-11-03 18:56:05,926: -SERVICE [/rosout/get_loggers] /rosout rosrpc://freight1207:45078
[rosmaster.master][INFO] 2020-11-03 18:56:05,927: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://freight1207:45078
[rosmaster.main][INFO] 2020-11-03 18:56:05,999: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-11-03 18:56:06,000: stopping master...
[rospy.core][INFO] 2020-11-03 18:56:06,000: signal_shutdown [atexit]
