[rosmaster.main][INFO] 2020-10-19 22:05:47,886: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-10-19 22:05:47,886: Starting ROS Master Node
[xmlrpc][INFO] 2020-10-19 22:05:47,886: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-10-19 22:05:47,886: Started XML-RPC server [http://freight1207:11311/]
[xmlrpc][INFO] 2020-10-19 22:05:47,886: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-10-19 22:05:47,887: Master initialized: port[11311], uri[http://freight1207:11311/]
[rosmaster.master][INFO] 2020-10-19 22:05:47,910: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,911: +PARAM [/roslaunch/uris/host_freight1207__39500] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,942: +PARAM [/move_base/global_costmap/obstacles/base_scan/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,942: +PARAM [/move_base/local_costmap/obstacles/max_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,942: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,942: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,942: +PARAM [/move_base/global_costmap/obstacles/z_resolution] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,942: +PARAM [/amcl/save_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,943: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,943: +PARAM [/move_base/TrajectoryPlannerROS/heading_scoring_timestep] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,943: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,943: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:54953/
[rosmaster.master][INFO] 2020-10-19 22:05:47,943: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,943: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,944: +PARAM [/move_base/global_costmap/obstacles/base_scan/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2020-10-19 22:05:47,944: +PARAM [/move_base/local_costmap/height] by /roslaunch
