[rosmaster.main][INFO] 2020-11-03 18:25:05,131: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-03 18:25:05,131: Starting ROS Master Node
[xmlrpc][INFO] 2020-11-03 18:25:05,132: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-11-03 18:25:05,132: Started XML-RPC server [http://freight1207:11311/]
[rosmaster.master][INFO] 2020-11-03 18:25:05,132: Master initialized: port[11311], uri[http://freight1207:11311/]
[xmlrpc][INFO] 2020-11-03 18:25:05,132: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-11-03 18:25:05,151: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:25:05,151: +PARAM [/roslaunch/uris/host_freight1207__37273] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:25:05,193: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:25:05,193: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-11-03 18:25:05,197: +SERVICE [/rosout/get_loggers] /rosout http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:25:05,198: +SERVICE [/rosout/set_logger_level] /rosout http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:25:05,199: +PUB [/rosout_agg] /rosout http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:25:05,201: +SUB [/rosout] /rosout http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:25:44,896: +SERVICE [/rostopic_4365_1604456744773/get_loggers] /rostopic_4365_1604456744773 http://freight1207:34692/
[rosmaster.master][INFO] 2020-11-03 18:25:44,897: +SERVICE [/rostopic_4365_1604456744773/set_logger_level] /rostopic_4365_1604456744773 http://freight1207:34692/
[rosmaster.master][INFO] 2020-11-03 18:25:44,898: +PUB [/listener] /rostopic_4365_1604456744773 http://freight1207:34692/
[rosmaster.master][INFO] 2020-11-03 18:26:20,815: +PUB [/rosout] /rostopic_4650_1604456780691 http://freight1207:54659/
[rosmaster.master][INFO] 2020-11-03 18:26:20,817: +SERVICE [/rostopic_4650_1604456780691/get_loggers] /rostopic_4650_1604456780691 http://freight1207:54659/
[rosmaster.master][INFO] 2020-11-03 18:26:20,818: +SERVICE [/rostopic_4650_1604456780691/set_logger_level] /rostopic_4650_1604456780691 http://freight1207:54659/
[rosmaster.master][INFO] 2020-11-03 18:26:20,837: publisherUpdate[/rosout] -> http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:26:45,849: +PUB [/rosout] /add_two_ints_server http://freight1207:54331/
[rosmaster.master][INFO] 2020-11-03 18:26:45,851: +SERVICE [/add_two_ints_server/get_loggers] /add_two_ints_server http://freight1207:54331/
[rosmaster.master][INFO] 2020-11-03 18:26:45,852: +SERVICE [/add_two_ints_server/set_logger_level] /add_two_ints_server http://freight1207:54331/
[rosmaster.master][INFO] 2020-11-03 18:26:45,853: +SERVICE [/add_two_ints] /add_two_ints_server http://freight1207:54331/
[rosmaster.master][INFO] 2020-11-03 18:26:45,869: publisherUpdate[/rosout] -> http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:27:14,852: -PUB [/rosout] /add_two_ints_server http://freight1207:54331/
[rosmaster.master][INFO] 2020-11-03 18:27:14,852: -SERVICE [/add_two_ints_server/get_loggers] /add_two_ints_server rosrpc://freight1207:47314
[rosmaster.master][INFO] 2020-11-03 18:27:14,852: -SERVICE [/add_two_ints_server/set_logger_level] /add_two_ints_server rosrpc://freight1207:47314
[rosmaster.master][INFO] 2020-11-03 18:27:14,852: -SERVICE [/add_two_ints] /add_two_ints_server rosrpc://freight1207:47314
[rosmaster.master][INFO] 2020-11-03 18:27:14,908: publisherUpdate[/rosout] -> http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:27:20,016: -PUB [/rosout_agg] /rosout http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:27:20,017: -SUB [/rosout] /rosout http://freight1207:39661/
[rosmaster.master][INFO] 2020-11-03 18:27:20,017: -SERVICE [/rosout/get_loggers] /rosout rosrpc://freight1207:54791
[rosmaster.master][INFO] 2020-11-03 18:27:20,018: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://freight1207:54791
[rosmaster.main][INFO] 2020-11-03 18:27:20,072: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-11-03 18:27:20,072: stopping master...
[rospy.core][INFO] 2020-11-03 18:27:20,072: signal_shutdown [atexit]
